CD14,CD15,CD19,CD4,CD8,IL,PLA,RE,TR,V1
11,14,14,14,15,14,14,12,6,ANXA5
3,-1,8,8,12,9,-1,9,9,ANXA6
11,14,14,11,15,14,11,14,14,ANXA7
12,-1,12,14,14,12,-1,12,12,KDM1A
13,-1,9,-1,-1,9,-1,13,9,AP1B1
14,3,12,8,8,14,14,14,14,AP1B1
3,8,3,3,3,8,9,8,8,AP1G1
8,12,3,3,8,12,9,12,12,AP1G1
3,8,8,8,8,8,9,8,7,AP1G2
9,9,9,3,3,9,-1,9,9,SYNRG
11,14,11,14,15,14,12,8,8,AP1M1
9,-1,-1,-1,-1,3,-1,9,3,AP1S1
9,-1,-1,-1,-1,9,-1,9,3,AP1S1
13,6,9,9,9,9,-1,9,13,AP2A1
6,6,-1,-1,-1,13,-1,-1,-1,AP2A1
9,-1,-1,9,9,9,-1,13,13,AP2A2
13,9,3,3,3,9,-1,3,13,AP2B1
12,12,12,8,12,12,12,12,12,AP2M1
12,8,8,8,8,12,12,8,8,AP2M1
14,8,8,8,12,12,12,12,12,AP2S1
2,14,2,11,11,11,2,11,2,AP2S1
14,14,11,14,15,15,9,14,11,AP3B1
8,8,3,3,3,8,-1,8,8,AP3D1
3,8,3,8,8,8,-1,8,8,AP3D1
8,8,8,8,8,8,-1,8,8,AP3M1
12,8,12,8,12,12,9,12,8,AP3M1
14,12,12,14,12,15,14,12,12,AP3S1
8,3,8,8,12,12,-1,8,8,AP4B1
8,3,8,8,8,8,-1,3,7,AP4E1
9,-1,-1,-1,-1,9,-1,9,9,AP4M1
14,14,8,8,8,8,9,12,8,APAF1
9,3,-1,9,-1,9,-1,9,9,APAF1
3,8,8,8,8,8,9,3,3,APBA3
11,11,11,11,11,6,14,6,6,APBB1IP
6,-1,-1,-1,-1,-1,-1,-1,-1,APBB2
13,12,3,3,13,8,14,3,3,APBB3
9,8,9,9,9,9,-1,9,13,APBB3
13,-1,-1,-1,-1,9,-1,13,9,APCDD1
9,9,-1,9,9,9,-1,9,9,SPEG
14,8,14,14,14,14,-1,14,14,APEH
14,-1,14,14,15,12,9,12,12,APEX1
11,-1,11,11,15,14,9,14,14,APEX1
14,12,14,14,14,14,14,14,14,APH1A
12,8,12,8,8,8,9,12,8,APH1A
12,12,8,3,3,9,-1,9,9,APH1B
14,3,14,14,15,14,-1,12,14,API5
12,3,8,8,8,8,-1,8,8,APIP
8,9,3,8,3,3,-1,3,7,APIP
14,12,12,3,3,14,9,14,14,APLP2
12,-1,14,14,14,14,-1,14,14,NAXE
8,14,-1,3,3,13,-1,8,8,APOBR
7,14,-1,-1,-1,-1,-1,-1,13,APOBEC3A
3,9,8,3,8,3,14,3,3,APOBEC3C
9,9,8,3,3,9,-1,13,9,APOBEC3D
13,9,3,3,3,3,9,3,3,APOBEC3F
13,-1,14,9,13,13,-1,13,9,APOBEC3F
13,-1,3,9,13,-1,-1,-1,-1,APOBEC3F
8,6,12,8,14,9,-1,9,9,APOBEC3G
8,8,12,8,14,3,9,13,13,APOBEC3G
9,3,-1,3,13,9,-1,13,9,APOL2
9,3,9,3,13,9,-1,13,13,APOL2
