CD14,CD15,IL,CD4,CD8,CD19,PLA,RE,TR,V1
3,10,9,3,3,3,3,9,6,ANKRD17
5,6,5,5,5,5,5,5,5,ANKRD17
10,5,10,11,6,10,8,10,10,ANKRD22
6,8,8,8,8,8,12,8,8,ANKRD22
12,10,12,12,12,3,6,12,3,ANKRD27
10,6,5,5,5,10,10,5,5,ANKRD28
6,6,6,6,6,8,5,11,11,SLF1
2,5,2,2,2,2,6,2,2,SLF1
2,5,12,2,2,2,12,12,2,ANKRD33
2,2,2,2,2,2,12,2,2,ANKRD35
3,2,5,3,5,3,9,5,10,ANKRD35
10,3,10,10,10,5,3,10,10,ANKRD37
10,5,6,5,5,10,3,6,6,ANKRD39
3,5,12,12,12,3,10,3,3,ANKRD40
10,6,10,5,5,5,8,11,11,ANKRD46
3,5,5,5,3,5,6,5,5,ANKRD49
8,6,8,8,8,8,8,8,8,ANKRD50
6,6,8,6,6,8,8,6,6,ANKRD54
12,2,5,3,3,10,3,11,10,SOWAHC
5,8,10,10,10,10,8,10,10,ANKRD6
12,3,12,12,12,2,12,12,2,ANKRD9
3,10,3,12,12,3,3,3,3,ANKS1A
6,6,10,6,8,8,8,10,10,ANKZF1
10,6,10,10,10,10,8,10,11,ANKZF1
10,8,6,11,6,10,5,6,6,ANO10
8,8,8,6,8,8,8,8,1,ANO6
12,3,3,3,3,3,2,3,3,ANO8
8,8,8,8,8,8,8,8,8,ANO9
6,6,6,11,6,10,8,6,6,ANP32A
8,8,8,8,8,8,8,8,8,ANP32B
3,10,3,3,3,3,5,3,3,ANP32C
10,8,10,10,10,10,8,11,11,ANPEP
5,2,5,3,3,5,5,10,10,ANTXR2
10,2,10,5,5,5,3,11,11,ANXA1
6,6,6,6,6,10,5,11,11,ANXA10
5,6,5,5,5,5,5,5,5,ANXA11
10,8,8,10,10,10,6,8,1,ANXA11
6,8,8,11,6,8,12,8,8,ANXA11
6,8,1,12,3,10,6,9,6,ANXA2
5,10,10,10,10,10,5,10,10,ANXA2
10,10,3,10,10,10,8,3,3,ANXA2
10,10,5,11,10,10,8,5,3,ANXA2P1
10,6,10,10,10,10,8,11,11,ANXA2P1
9,3,5,9,3,3,9,5,5,ANXA2P2
